;Leonardo DiCaprio;Robert Downey Jr.;Tom Hanks;John Ratzenberger;Christian Bale;Tom Cruise;Scarlett Johansson;Gary Oldman;Brad Pitt;Matt Damon;Johnny Depp;Hugh Jackman;Denzel Washington;Bruce Willis;Jeff Bridges;Al Pacino;Morgan Freeman;Philip Seymour Hoffman;Jim Broadbent;Robert De Niro;Kevin Spacey;Harrison Ford;Naomi Watts;Bill Murray;Kate Winslet;Jake Gyllenhaal;Anthony Hopkins;Robert Duvall;Liam Neeson;Meryl Streep;Eddie Marsan
Leonardo DiCaprio;0;0;1.0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;1.0;0;0
Robert Downey Jr.;0;0;0;0;0;0;3.0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;2.0
Tom Hanks;1.0;0;0;3.0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0
John Ratzenberger;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Christian Bale;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0
Tom Cruise;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Scarlett Johansson;0;3.0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;5.0;0;0;0;0;0;0;0
Gary Oldman;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0
Brad Pitt;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;1.0;1.0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0
Matt Damon;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Johnny Depp;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0
Hugh Jackman;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0
Denzel Washington;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bruce Willis;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0
Jeff Bridges;0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al Pacino;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;2.0;0;0;0
Morgan Freeman;0;0;0;0;2.0;0;0;0;1.0;0;0;0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0
Philip Seymour Hoffman;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0
Jim Broadbent;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0
Robert De Niro;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0
Kevin Spacey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0
Harrison Ford;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0
Naomi Watts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0
Bill Murray;0;0;0;0;0;0;5.0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0
Kate Winslet;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0
Jake Gyllenhaal;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthony Hopkins;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Robert Duvall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0
Liam Neeson;1.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0
Meryl Streep;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0
Eddie Marsan;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0
